supplier_id,name,country,tier,risk_score,reliability,annual_revenue,employees,certifications,sustainability_score,blockchain_verified
SUP_021,TechCore Avionics GmbH,Germany,1,0.18,0.97,920000000,11200,"ISO 9001, AS9100, EN 9100, CMMI Level 5",96,TRUE
SUP_022,SkyBridge Components Pvt Ltd,India,2,0.31,0.91,480000000,4100,"ISO 9001, AS9100, CMMI Level 3",88,TRUE
SUP_023,Pacific Rare Metals Inc,China,4,0.81,0.52,130000000,620,"ISO 14001 (Expired)",18,FALSE
SUP_024,Nordic Titanium Solutions,Sweden,2,0.27,0.93,370000000,2600,"ISO 9001, ISO 14001, NADCAP",91,TRUE
SUP_025,Delta Semiconductor Corp,Taiwan,1,0.22,0.96,1100000000,9800,"ISO 9001, ISO 27001, TS 16949",94,TRUE
SUP_026,Volkov Alloys JSC,Russia,3,0.72,0.61,145000000,820,"ISO 9001",38,FALSE
SUP_027,SolarEdge Power Systems,Israel,2,0.33,0.89,290000000,2100,"ISO 9001, AS9100, CE",85,TRUE
SUP_028,Andean Minerals SA,Peru,4,0.68,0.59,88000000,380,"ISO 14001",42,FALSE
SUP_029,BayernTech Sensors,Germany,2,0.25,0.94,410000000,3300,"ISO 9001, IEC 61508, RoHS",92,TRUE
SUP_030,OmegaFlex Hydraulics,Italy,3,0.44,0.82,195000000,1350,"ISO 9001, CE",77,TRUE
SUP_031,Constellation Navigation Ltd,UK,2,0.29,0.92,330000000,2400,"ISO 9001, AS9100, EN 9100",89,TRUE
SUP_032,SteelCraft Heavy Industries,Brazil,3,0.55,0.74,210000000,1600,"ISO 9001, ISO 14001",66,FALSE
SUP_033,Fuji Advanced Materials,Japan,2,0.21,0.97,560000000,4700,"ISO 9001, TS 16949, NADCAP",95,TRUE
SUP_034,ArctikComp Manufacturing,Norway,3,0.24,0.95,240000000,1700,"ISO 9001, ISO 14001",93,TRUE
SUP_035,MidEast Aerospace Parts,UAE,2,0.36,0.87,315000000,2200,"AS9100, ISO 9001",83,TRUE
SUP_036,Congo Basin Resources,Congo,4,0.93,0.29,72000000,310,"None",10,FALSE
SUP_037,Alphawave Composite,Canada,2,0.28,0.92,355000000,2550,"AS9100, NADCAP, CSA",90,TRUE
SUP_038,HorizonTech Optics,Netherlands,3,0.32,0.88,225000000,1500,"ISO 9001, IEC 61508",87,TRUE
SUP_039,Kyung-Do Electronics,South Korea,1,0.20,0.97,890000000,8200,"ISO 9001, ISO 27001, TS 16949",94,TRUE
SUP_040,Saharan Lithium Extraction,Mali,4,0.87,0.38,65000000,260,"ISO 14001 (Pending)",14,FALSE
